RPM;Nm;kW;%;;;
1000;-200.00;-9.56;45.7;;;
1000;-190.00;-10.21;51.3;;;
1000;-180.00;-10.79;57.2;;;
1000;-170.00;-10.87;61.1;;;
1000;-160.00;-10.81;64.5;;;
1000;-150.00;-10.34;65.8;;;
1000;-140.00;-10.03;68.4;;;
1000;-130.00;-9.58;70.4;;;
1000;-120.00;-9.04;71.9;;;
1000;-110.00;-8.50;73.8;;;
1000;-100.00;-7.91;75.5;;;
1000;-90.00;-7.24;76.9;;;
1000;-80.00;-6.52;77.8;;;
1000;-70.00;-5.75;78.4;;;
1000;-60.00;-4.95;78.7;;;
1000;-50.00;-4.12;78.6;;;
1000;-40.00;-3.26;77.9;;;
1000;-30.00;-2.40;76.3;;;
1000;-15.00;-1.11;70.4;;;
1000;0.00;0.34;0.0;;;
1000;10.00;1.44;72.6;;;
1000;20.00;2.63;79.5;;;
1000;30.00;3.85;81.6;;;
1000;40.00;5.07;82.6;;;
1000;50.00;6.30;83.1;;;
1000;60.00;7.56;83.1;;;
1000;70.00;8.84;83.0;;;
1000;80.00;10.15;82.5;;;
1000;90.00;11.50;81.9;;;
1000;100.00;12.91;81.1;;;
1000;110.00;14.39;80.0;;;
1000;120.00;15.92;78.9;;;
1000;130.00;17.46;78.0;;;
1000;140.00;19.07;76.9;;;
1000;150.00;20.82;75.4;;;
1000;160.00;22.43;74.7;;;
1000;170.00;24.42;72.9;;;
1000;180.00;26.47;71.2;;;
1000;200.00;31.79;65.9;;;
2000;-200.00;-29.98;71.6;;;
2000;-190.00;-28.90;72.6;;;
2000;-180.00;-28.24;74.9;;;
2000;-170.00;-27.42;77.0;;;
2000;-160.00;-26.61;79.4;;;
2000;-150.00;-25.62;81.5;;;
2000;-140.00;-24.37;83.1;;;
2000;-130.00;-22.91;84.2;;;
2000;-120.00;-21.39;85.1;;;
2000;-110.00;-19.70;85.5;;;
2000;-100.00;-18.03;86.1;;;
2000;-90.00;-16.28;86.4;;;
2000;-80.00;-14.44;86.2;;;
2000;-70.00;-12.75;87.0;;;
2000;-60.00;-10.97;87.3;;;
2000;-50.00;-9.13;87.1;;;
2000;-40.00;-7.24;86.5;;;
2000;-30.00;-5.35;85.1;;;
2000;-15.00;-2.53;80.5;;;
2000;0.00;0.47;0.0;;;
2000;10.00;2.62;79.8;;;
2000;20.00;4.88;85.8;;;
2000;30.00;7.17;87.6;;;
2000;40.00;9.46;88.6;;;
2000;50.00;11.75;89.1;;;
2000;60.00;14.08;89.2;;;
2000;70.00;16.48;88.9;;;
2000;80.00;18.96;88.4;;;
2000;90.00;21.29;88.5;;;
2000;100.00;23.72;88.3;;;
2000;110.00;26.21;87.9;;;
2000;120.00;28.70;87.6;;;
2000;130.00;31.33;86.9;;;
2000;140.00;34.03;86.2;;;
2000;150.00;36.94;85.1;;;
2000;160.00;40.09;83.6;;;
2000;170.00;43.43;82.0;;;
2000;180.00;46.74;80.7;;;
2000;200.00;53.32;78.6;;;
3000;-190.00;-50.77;85.1;;;
3000;-180.00;-48.43;85.6;;;
3000;-170.00;-45.95;86.0;;;
3000;-160.00;-43.66;86.9;;;
3000;-150.00;-41.30;87.6;;;
3000;-140.00;-38.84;88.3;;;
3000;-130.00;-36.33;89.0;;;
3000;-120.00;-33.66;89.3;;;
3000;-110.00;-31.04;89.8;;;
3000;-100.00;-28.36;90.3;;;
3000;-90.00;-25.63;90.6;;;
3000;-80.00;-22.83;90.9;;;
3000;-70.00;-19.97;90.8;;;
3000;-60.00;-17.08;90.6;;;
3000;-50.00;-14.16;90.2;;;
3000;-40.00;-11.23;89.3;;;
3000;-30.00;-8.30;88.0;;;
3000;-15.00;-3.93;83.4;;;
3000;0.00;0.61;0.0;;;
3000;10.00;3.82;82.2;;;
3000;20.00;7.15;87.9;;;
3000;30.00;10.49;89.8;;;
3000;40.00;13.84;90.8;;;
3000;50.00;17.18;91.4;;;
3000;60.00;20.54;91.8;;;
3000;70.00;23.92;91.9;;;
3000;80.00;27.32;92.0;;;
3000;90.00;30.79;91.8;;;
3000;100.00;34.33;91.5;;;
3000;110.00;37.91;91.2;;;
3000;120.00;41.54;90.7;;;
3000;130.00;45.14;90.5;;;
3000;140.00;48.88;90.0;;;
3000;150.00;52.67;89.5;;;
3000;160.00;56.56;88.9;;;
3000;170.00;60.51;88.3;;;
3000;180.00;64.27;88.0;;;
4000;-140.00;-53.32;90.9;;;
4000;-130.00;-49.83;91.5;;;
4000;-120.00;-46.38;92.3;;;
4000;-110.00;-42.80;92.9;;;
4000;-100.00;-39.06;93.2;;;
4000;-90.00;-35.17;93.3;;;
4000;-80.00;-31.23;93.2;;;
4000;-70.00;-27.28;93.0;;;
4000;-60.00;-23.29;92.7;;;
4000;-50.00;-19.30;92.2;;;
4000;-40.00;-15.31;91.4;;;
4000;-30.00;-11.32;90.1;;;
4000;-15.00;-5.38;85.6;;;
4000;0.00;0.70;0.0;;;
4000;10.00;4.97;84.3;;;
4000;20.00;9.37;89.4;;;
4000;30.00;13.75;91.4;;;
4000;40.00;18.13;92.4;;;
4000;50.00;22.51;93.1;;;
4000;60.00;26.89;93.5;;;
4000;70.00;31.27;93.8;;;
4000;80.00;35.68;93.9;;;
4000;90.00;40.11;94.0;;;
4000;100.00;44.58;94.0;;;
4000;110.00;49.20;93.7;;;
4000;120.00;53.96;93.1;;;
4000;130.00;58.86;92.5;;;
4000;140.00;63.71;92.0;;;
5000;-110.00;-53.51;92.9;;;
5000;-100.00;-48.95;93.5;;;
5000;-90.00;-44.43;94.3;;;
5000;-80.00;-39.74;94.9;;;
5000;-70.00;-34.87;95.2;;;
5000;-60.00;-29.89;95.1;;;
5000;-50.00;-24.85;94.9;;;
5000;-40.00;-19.72;94.2;;;
5000;-30.00;-14.54;92.5;;;
5000;-15.00;-6.92;88.1;;;
5000;0.00;0.77;0.0;;;
5000;10.00;6.06;86.4;;;
5000;20.00;11.45;91.4;;;
5000;30.00;16.82;93.4;;;
5000;40.00;22.10;94.8;;;
5000;50.00;27.45;95.4;;;
5000;60.00;32.87;95.6;;;
5000;70.00;38.34;95.6;;;
5000;80.00;43.94;95.3;;;
5000;90.00;49.69;94.8;;;
5000;100.00;55.61;94.2;;;
5000;110.00;61.49;93.7;;;
6000;-90.00;-52.46;92.8;;;
6000;-80.00;-46.84;93.2;;;
6000;-70.00;-41.38;94.1;;;
6000;-60.00;-35.68;94.6;;;
6000;-50.00;-29.77;94.7;;;
6000;-40.00;-23.74;94.5;;;
6000;-30.00;-17.63;93.5;;;
6000;-15.00;-8.27;87.8;;;
6000;0.00;1.11;0.0;;;
6000;10.00;7.38;85.1;;;
6000;20.00;13.68;91.9;;;
6000;30.00;20.02;94.2;;;
6000;40.00;26.46;95.0;;;
6000;50.00;32.99;95.2;;;
6000;60.00;39.62;95.1;;;
6000;70.00;46.46;94.7;;;
6000;80.00;53.53;93.9;;;
6000;90.00;60.44;93.6;;;
7000;-80.00;-54.71;93.3;;;
7000;-70.00;-48.05;93.6;;;
7000;-60.00;-41.37;94.1;;;
7000;-50.00;-34.63;94.5;;;
7000;-40.00;-27.71;94.5;;;
7000;-30.00;-20.67;94.0;;;
7000;-15.00;-9.98;90.8;;;
7000;0.00;0.89;0.0;;;
7000;10.00;8.26;88.8;;;
7000;20.00;15.72;93.2;;;
7000;30.00;23.25;94.6;;;
7000;40.00;30.85;95.0;;;
7000;50.00;38.58;95.0;;;
7000;60.00;46.47;94.6;;;
7000;70.00;54.42;94.3;;;
7000;80.00;62.39;94.0;;;
8000;-70.00;-54.66;93.2;;;
8000;-60.00;-46.91;93.3;;;
8000;-50.00;-39.15;93.5;;;
8000;-40.00;-31.37;93.6;;;
8000;-30.00;-23.43;93.2;;;
8000;-15.00;-11.31;90.0;;;
8000;0.00;1.12;0.0;;;
8000;10.00;9.55;87.8;;;
8000;20.00;18.08;92.7;;;
8000;30.00;26.76;93.9;;;
8000;40.00;35.55;94.3;;;
8000;50.00;44.49;94.1;;;
8000;60.00;53.46;94.0;;;
8000;70.00;62.43;93.9;;;
9000;-60.00;-52.52;92.9;;;
9000;-50.00;-43.77;92.9;;;
9000;-40.00;-35.00;92.8;;;
9000;-30.00;-26.17;92.6;;;
9000;-15.00;-12.73;90.1;;;
9000;0.00;1.14;0.0;;;
9000;10.00;10.68;88.2;;;
9000;20.00;20.41;92.3;;;
9000;30.00;30.28;93.4;;;
9000;40.00;40.27;93.6;;;
9000;50.00;50.30;93.7;;;
9000;60.00;60.37;93.7;;;
10000;-50.00;-48.28;92.2;;;
10000;-40.00;-38.65;92.3;;;
10000;-30.00;-29.12;92.7;;;
10000;-15.00;-14.34;91.3;;;
10000;0.00;1.12;0.0;;;
10000;10.00;11.72;89.4;;;
10000;20.00;22.53;93.0;;;
10000;30.00;33.62;93.4;;;
10000;40.00;44.96;93.2;;;
10000;50.00;56.22;93.1;;;
11000;-50.00;-53.01;92.0;;;
11000;-40.00;-42.30;91.8;;;
11000;-30.00;-31.61;91.5;;;
11000;-15.00;-15.65;90.6;;;
11000;0.00;1.30;0.0;;;
11000;10.00;13.00;88.6;;;
11000;20.00;25.00;92.2;;;
11000;30.00;37.36;92.5;;;
11000;40.00;49.66;92.8;;;
11000;50.00;61.93;93.0;;;
12000;-40.00;-46.17;91.9;;;
12000;-30.00;-34.47;91.4;;;
12000;-15.00;-16.74;88.8;;;
12000;0.00;1.74;0.0;;;
12000;10.00;14.47;86.8;;;
12000;20.00;27.50;91.4;;;
12000;30.00;40.76;92.5;;;
12000;40.00;54.08;92.9;;;
13000;-40.00;-49.30;90.5;;;
13000;-30.00;-36.52;89.4;;;
13000;-15.00;-17.43;85.4;;;
13000;0.00;2.35;0.0;;;
13000;10.00;16.23;83.9;;;
13000;20.00;30.51;89.2;;;
13000;30.00;44.78;91.2;;;
13000;40.00;59.06;92.2;;;