Parameters;Mini;Compact;Lower Med.;Upper Med.;SUV;Pick-ups;Average_QC;Average_EU;Average_UK;Average_US
M_body [kg];894;1183;1378;1556;1777;2006;1583;1493;1469;1776
R0 ;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009
Cd ;0.32;0.31;0.3;0.32;0.35;0.42;0.34;0.33;0.33;0.36
A [m2];2.01;2.21;2.3;2.54;2.89;3.27;2.64;2.52;2.5;2.87
Iw [kg/m2];0.7;0.85;1;1.4;1.8;2.14;1.43;1.34;1.26;1.75
Rw [m];0.3;0.32;0.34;0.36;0.37;0.4;0.36;0.34;0.35;0.37
trans_f;9;9;9;9;9;9;9;9;9;9
Pacc [W];350;350;725;725;1000;1000;775;750;715;850
M_eq [kg];50;50;70;70;100;170;80;77;73;93
Cd_eq;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3