Path Variables;EU_mix;US_mix;JP_mix;City - Mean;City – Dense;Suburban;Countryside;Hwy US;Hwy EU
J3;616;460;242;134;110;315;606;896;1155
K1;0.14;0.126;0.17;0.196;0.3;0.144;0.097;0.06;0.01
K2;2.115;1.824;1.865;1.604;2.293;1.886;1.89;4.79;2.435
rate_acc;0.804;0.843;0.809;0.807;0.795;0.819;0.83;0.85;0.804
J0;0.054;0.055;0.1;0.112;0.169;0.056;0.041;0.034;0.03
H;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
w;4;4;4;4;4;4;4;4;4
Share urban;0.473;0.388;0.811;1;1;1;0;0;0
dist;23270;18000;8170;20000;20000;20000;20000;20000;20000
t_idle;0.0097;0.0189;0.0423;0.036;0.06;0.022;0.01;0;0